Star,Program_ID,Program_timeline,parallax,uncertainty_parallax,reference_parallax,Distance,Uncertainty_distance_positive,uncertainty_distance_negative,reference_distance,Spectral_Type,reference_spectral_type,2MASS_Designation,Region,reference_region,Log_Mstar,uncertainty_positive_Log_Mstar,uncertainty_negative_Log_Mstar,Mstar,reference_Mstar,Mdisk,uncertainty_Mdisk,reference_Mdisk,R95,reference_R95,R90,reference_R90,R68,reference_R68,uncertainty_R95_positive,uncertainty_R95_negative,T_eff,uncertainty_Teff,reference_log_Teff,log_Lstar,uncertainty_log_Lstar,reference_log_Lstar,log_tstar,log_tstar_lessthan,uncertainty_log_tstar_positive,uncertainty_log_tstar_negative,reference_log_tstar,log_accretion_rate,log_accretion_rate_lessthan,log_uncertainty_accretion_rate,Accrection_rate,reference_accretion_rate,A_v,reference_A_v,disk_inclination,uncertainty_disk_inclination_positive,uncertainty_disk_inclination_negative,reference_disk_inclination,bright_ring_number,reference_bright_ring_number,dark_gap_number,reference_dark_gap_number,Disk_has_Rings,reference_Disk_has_Rings,Annular_Substructures,reference_Annular_Substructures,Disk_has_spirals,reference_Disk_has_spirals,Disk_Asymmetry,reference_Disk_Asymmetry,Transition_Disk,reference_Transition_Disk,Star_system,reference_star_system
FZ Tau,1549,"Jan 16, 2023 - Mar 6, 2023 (2023.016 - 2023.065)",7.737149114,0.025829434,gaia_dr3_parallaxes,129.246572,0.4314723359,0.4314723359,gaia_dr3_parallaxes,M0.5,herczeg_2014,J04323176+2420029,Taurus IV,vandam_2020,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-0.48,-99,herczeg_2014,-99,-99,-99,-99,-99,-99,,,-99,,3.50,herczeg_2014,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,FALSE,salyk_2019,Binary,akeson_2019
TW Cha,1549,"Jun 27, 2022 - Aug 22, 2022 (2022.178 - 2022.234)",5.460943766,0.012819946,gaia_dr3_parallaxes,183.1185309,0.4298835107,0.4298835107,gaia_dr3_parallaxes,K7,guenther_2007,J10590108-7722407,Cha I south,galli_2020,0.04139268516,0.03948131654,0.03948131654,1.1,garufi_2022,0.00880326447,-99,manara_2019,-99,-99,-99,-99,-99,-99,-99,-99,3995.00,,luhman_2007,-0.19,,garufi_2022,6.633468456,,-99,-99,woitke_2019,-8.65,0,-99,0.000000002238721139,manara_2019,0.80,garufi_2022,31.40,4.96,3.37,hendler_2020,-99,,-99,,-99,-99,-99,-99,-99,-99,-99,-99,,,Binary,nguyen_2012
VZ Cha,1549,"Jun 28, 2022 - Aug 23, 2022 (2022.179 - 2022.235)",5.232157974,0.0154402,gaia_dr3_parallaxes,191.1257277,0.5640157417,0.5640157417,gaia_dr3_parallaxes,M0.5,manara_2015,J11092379-7623207,Cha I,hendler_2020,-0.29,0.12,0.11,0.512861384,hendler_2020,0.018,0.000436,manara_2018,-99,-99,-99,-99,-99,-99,-99,-99,3780.00,,hendler_2020,-0.26,,hendler_2020,5.9,0,0.38,0.05,garufi_2018,-7.61,0,,0.00000002454708916,manara_2015,1.20,manara_2015,15.63,8.15,10.29,hendler_2020,-99,,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-,,,
GQ Lup,1640,"Feb 20, 2023 - Apr 9, 2023 (2023.051 - 2023.099)",6.489306587,0.028916046,gaia_dr3_parallaxes,154.0996695,0.6866609045,0.6866609045,gaia_dr3_parallaxes,K5.0,herczeg_2014,J15491210-3539051,-99,-99,-0.1,-99,-99,0.7943282347,frasca_2017,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,4192.00,65.00,frasca_2017,-0.04,-99,herczeg_2014,6,0,-99,-99,frasca_2017,-99,,,-99,,1.60,herczeg_2014,-99,-99,-99,-99,2,long_2020,2,long_2020,TRUE,long_2020,TRUE,long_2020,FALSE,long_2020,-99,-99,,,Binary,long_2020
IRAS 04385,1640,"Jan 18, 2023 - Mar 8, 2023 (2023.018 - 2023.067)",6.265721148,0.2827686,gaia_dr3_parallaxes,159.5985484,7.202596004,7.202596004,gaia_dr3_parallaxes,M0,luhman_2009,J04413882+2556267,Taurus Molecular Cloud,luhman_2009,-0.25,0.04,0.01,0.5623413252,akeson_2019,0.0024547089,,akeson_2019,-99.00,-99,-99,-99,20.42,tripathi_2017,,,-99,-99,-99,-0.11,0.1,akeson_2019,-99,-99,-99,-99,-99,-99,-99,,-99,,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Single,akeson_2019
GK Tau,1640,"Jan 16, 2023 - Mar 6, 2023 (2023.016 - 2023.065)",7.74329661,0.018452499,gaia_dr3_parallaxes,129.1439616,0.3077537827,0.3077537827,gaia_dr3_parallaxes,K6.5,herczeg_2014,J04333456+2421058,Taurus Molecular Cloud,long_2019,-0.2006594505,0.1102970113,0.08961632166,0.6300000001,long_2019,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,4007.00,-99.00,long_2019,-0.097,-99,long_2019,6.079181246,,0.2533384478,0.217147241,long_2019,-99,,,-99,,1.50,long_2019,40.20,5.90,6.20,long_2019,-99,,-99,,FALSE,long_2019,FALSE,long_2019,FALSE,long_2019,TRUE,long_2019,FALSE,long_2019,Single,long_2019
CI Tau,1640,"Jan 16, 2023 - Mar 6, 2023 (2023.016 - 2023.065)",6.237611682,0.020453317,gaia_dr3_parallaxes,160.3177708,0.5256868099,0.5256868099,gaia_dr3_parallaxes,K5.5,herczeg_2014,J04335200+2250301,Taurus Molecular Cloud,long_2020,-0.05060999336,0.1024739789,0.08295512576,0.89,long_2019,0.0405405,-99,garufi_2022,-99,-99,173.80,long_2018,151.00,tripathi_2017,0.47,0.32,4277.00,-99.00,long_2019,-0.092,-99,long_2019,6.397940009,,0.3474355855,0.191089572,long_2019,-99,,,-99,,1.90,long_2019,50.00,0.30,0.30,long_2019,-99,,-99,,TRUE,long_2019,TRUE,long_2019,FALSE,long_2019,UNSURE,long_2019,FALSE,huang_2018,,
RY Lup,1640,"Feb 23, 2023 - Apr 14, 2023 (2023.054 - 2023.104)",6.515341151,0.060424596,gaia_dr3_parallaxes,153.4839047,1.423440878,1.423440878,gaia_dr3_parallaxes,K2,alcaca_2017,J15592838-4021513,Lupus,hendler_2020,0.15,0.21,0.15,1.412537545,hendler_2020,0.027342315,-99,manara_2019,-99,-99,-99,-99,-99,-99,-99,-99,5082.00,118.00,frasca_2017,0.2200034262,0.1851953512,alcaca_2017,7.0,0,-99,-99,frasca_2017,-8.16,-99,-99,0.000000006918309709,manara_2019,0.40,alcaca_2017,-99,-99,-99,-99,-99,,-99,,-99,-99,-99,-99,-99,-99,-99,-99,TRUE,manara_2019,,
IQ Tau,1640,"Jan 16, 2023 - Mar 6, 2023 (2023.016 - 2023.065)",7.60387088,0.035938505,gaia_dr3_parallaxes,131.5119649,0.621570708,0.621570708,gaia_dr3_parallaxes,M1.1,herczeg_2014,J04295156+2606448,Taurus Molecular Cloud,long_2019,-0.3010299957,0.1389742342,0.1042306757,0.5,long_2019,-99,-99,,-99,-99,95.89,long_2018,79.00,tripathi_2017,0.66,1.05,3690.00,-99.00,long_2019,-0.61,-99,herczeg_2014,6.62324929,,0.4239541371,0.2068068961,long_2019,-99,,,-99,,0.85,long_2019,62.10,0.50,0.50,long_2019,-99,,-99,,TRUE,long_2019,TRUE,long_2019,FALSE,long_2019,TRUE,long_2019,FALSE,huang_2018,,
HP Tau,1640,"Sep 2, 2022 - Oct 18, 2022 (2022.245 - 2022.291)",5.83948565,0.048996773,gaia_dr3_parallaxes,171.2479592,1.436872678,1.436872678,gaia_dr3_parallaxes,K4,herczeg_2014,J04355277+2254231,Taurus Molecular Cloud,long_2019,0.07918124605,0.4125797578,0.06514417229,1.2,long_2019,-99,-99,,-99,-99,-99.00,-99.00,36.31,tripathi_2017,,,4590.00,-99.00,long_2019,0.03,-99,herczeg_2014,6.380211242,,0.3438164648,0.1809560341,long_2019,-99,,,-99,,3.15,long_2019,18.30,1.20,1.40,long_2019,-99,,-99,,FALSE,long_2019,FALSE,long_2019,FALSE,long_2019,FALSE,long_2019,FALSE,long_2019,Single,long_2019
GO Tau,1640,"Sep 4, 2022 - Oct 20, 2022 (2022.247 - 2022.293)",7.023346634,0.019988272,gaia_dr3_parallaxes,142.3822648,0.4052164281,0.4052164281,gaia_dr3_parallaxes,M2.3,herczeg_2014,J04430309+2520187,Taurus Molecular Cloud,long_2019,-0.4436974992,0.1568285629,0.1085736205,0.36,long_2019,-99,-99,,-99,-99,144.14,long_2018,200.00,tripathi_2017,1.15,2.45,3516.00,-99.00,long_2019,-0.7,-99,herczeg_2014,6.342422681,,0.3750725071,0.217147241,long_2019,-99,,,-99,,1.50,long_2019,53.90,0.50,0.50,long_2019,-99,,-99,,TRUE,long_2019,TRUE,long_2019,FALSE,long_2019,TRUE,long_2019,FALSE,huang_2018,,
